OBS,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
OUT95111816,-33.94183333,21.13583333,2.65,37.4,326.95,0.03,0.41,4.69
FBH95111905,-34.21833333,18.44833333,6.06,33.55,506.25,0.19,0.45,3.49
JID96030403,-34.31266667,18.99833333,10.17,24.48,474.61,0.22,0.42,3.61
OUT96030910,-33.83416667,22.62066667,7.26,30.83,348.05,0.08,0.43,2.07
AGR96100902,-34.00816667,19.658,1.57,36.73,458.79,0.16,0.45,3.73
OUT96110206,-33.99,21.465,2.65,37.4,326.95,0.03,0.41,4.69
OUT97070604,-33.84883333,23.67983333,8.42,29.69,390.23,0.17,0.44,2.8
PVR97100109,-34.341,18.93483333,10.17,24.48,474.61,0.22,0.42,3.61
WIJ97101811,-34.33166667,19.24833333,6.87,29.51,363.87,0.14,0.41,3.67
WIJ97100405,-34.32833333,19.00666667,10.17,24.48,474.61,0.22,0.42,3.61
OUT97111511,-33.986,21.25583333,2.65,37.4,326.95,0.03,0.41,4.69
WIJ97110209,-34.07833333,19.99916667,1.82,38.84,427.15,0.1,0.43,4.03
CSS97120704,-34.11483333,18.4365,11.12,25.9,374.41,0.22,0.34,3.64
WIJ97120602,-34.34833333,18.94833333,10.17,24.48,474.61,0.22,0.42,3.61
WIJ97120603,-34.34166667,18.96,10.17,24.48,474.61,0.22,0.42,3.61
JID97120604,-34.34166667,18.96566667,10.17,24.48,474.61,0.22,0.42,3.61
OUT97100405,-33.95916667,21.54466667,2.65,37.4,326.95,0.03,0.41,4.69
JID98020901,-34.09316667,18.428,11.12,25.9,374.41,0.22,0.34,3.64
JBB98041303,-33.937,20.82533333,2.62,36.51,290.04,0.03,0.41,4.58
WIJ98110107,-33.98083333,21.2475,2.65,37.4,326.95,0.03,0.41,4.69
WIJ98120911,-34.63466667,19.59833333,6.87,29.51,363.87,0.14,0.41,3.67
WIJ99102301,-34.1925,19.18,1.57,36.73,458.79,0.16,0.45,3.73
AWA99092903,-32.96483333,19.096,-1.39,35.69,564.26,0.2,0.49,3.73
GED99111704,-33.13166667,19.17416667,-1.39,35.69,564.26,0.2,0.49,3.73
JUG99090902,-34.39583333,19.32166667,6.87,29.51,363.87,0.14,0.41,3.67
JUG99090903,-34.39083333,19.33666667,6.87,29.51,363.87,0.14,0.41,3.67
