,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
112,-33.88516667,22.414,7.26,30.83,348.05,0.08,0.43,2.07
113,-33.87516667,22.30266667,7.26,30.83,348.05,0.08,0.43,2.07
114,-34.01,19.61916667,1.57,36.73,458.79,0.16,0.45,3.73
115,-34.03416667,19.615,1.57,36.73,458.79,0.16,0.45,3.73
116,-34.00833333,19.57833333,1.57,36.73,458.79,0.16,0.45,3.73
117,-33.8625,22.20266667,7.26,30.83,348.05,0.08,0.43,2.07
118,-33.95166667,21.12,2.65,37.4,326.95,0.03,0.41,4.69
119,-33.91616667,22.02966667,4.23,35.73,305.86,0.03,0.41,4.22
120,-34.00983333,19.5775,1.57,36.73,458.79,0.16,0.45,3.73
121,-33.95,21.155,2.65,37.4,326.95,0.03,0.41,4.69
122,-33.963,21.648,4.23,35.73,305.86,0.03,0.41,4.22
123,-33.90333333,22.142,4.23,35.73,305.86,0.03,0.41,4.22
124,-33.93833333,20.9,2.62,36.51,290.04,0.03,0.41,4.58
125,-33.98966667,21.4855,2.65,37.4,326.95,0.03,0.41,4.69
126,-33.86816667,21.95,4.23,35.73,305.86,0.03,0.41,4.22
127,-33.913,20.85483333,2.62,36.51,290.04,0.03,0.41,4.58
128,-33.873,22.08633333,4.23,35.73,305.86,0.03,0.41,4.22
129,-33.876,22.31116667,7.26,30.83,348.05,0.08,0.43,2.07
130,-33.927,20.86183333,2.62,36.51,290.04,0.03,0.41,4.58
131,-33.94683333,20.28766667,1.82,38.84,427.15,0.1,0.43,4.03
132,-33.86083333,21.96183333,4.23,35.73,305.86,0.03,0.41,4.22
133,-33.94583333,20.39166667,2.62,36.51,290.04,0.03,0.41,4.58
134,-33.94666667,20.41166667,2.62,36.51,290.04,0.03,0.41,4.58
135,-33.96583333,21.299,2.65,37.4,326.95,0.03,0.41,4.69
136,-33.95266667,20.2925,1.82,38.84,427.15,0.1,0.43,4.03
137,-33.86983333,22.06716667,4.23,35.73,305.86,0.03,0.41,4.22
138,-33.872,21.922,4.23,35.73,305.86,0.03,0.41,4.22
139,-33.865,21.95583333,4.23,35.73,305.86,0.03,0.41,4.22
140,-33.898,21.99833333,4.23,35.73,305.86,0.03,0.41,4.22
141,-33.93416667,21.83633333,4.23,35.73,305.86,0.03,0.41,4.22
142,-33.84916667,22.17683333,4.23,35.73,305.86,0.03,0.41,4.22
143,-33.94366667,21.61133333,4.23,35.73,305.86,0.03,0.41,4.22
144,-33.95666667,21.1915,2.65,37.4,326.95,0.03,0.41,4.69
145,-33.869,22.3285,7.26,30.83,348.05,0.08,0.43,2.07
146,-33.8675,22.01866667,4.23,35.73,305.86,0.03,0.41,4.22
147,-33.9575,21.19333333,2.65,37.4,326.95,0.03,0.41,4.69
148,-33.922,20.8565,2.62,36.51,290.04,0.03,0.41,4.58
149,-33.869,22.31083333,7.26,30.83,348.05,0.08,0.43,2.07
150,-33.87533333,22.31133333,7.26,30.83,348.05,0.08,0.43,2.07
151,-33.88016667,22.31133333,7.26,30.83,348.05,0.08,0.43,2.07
152,-33.87533333,22.299,7.26,30.83,348.05,0.08,0.43,2.07
