OBS,Latitude,Longitude
TLE98110101,33.9725,21.29916667
OUT94040909,33.905,21.85933333
TLE98092504,33.92966667,20.85166667
AGR97102508,34.064,20.0135
AGRY2042010,33.73966667,19.98066667
DOA94090508,33.946,20.40383333
DOA94090515,33.94683333,20.37366667
DOA94090310,33.97566667,20.48516667
AGR94110818,33.972,21.23633333
DOAY0120901,34.01666667,19.5995
VCH98092503,33.92883333,20.86666667
PNR98092602,33.90266667,20.85166667
DFJ99080802,33.91716667,20.8705
SHR92081105,33.87416667,22.29616667
NAH99050901,33.9455,21.84683333
CSS97123106,33.928,20.864
DOA94090513,33.946,20.38433333
OUT95111806,33.9495,21.1275
LOF99060801,33.93333333,20.901
OUT95042908,33.87433333,22.301
OUT95111804,33.9485,21.1355
WMPY1032201,34.06983333,19.822
VAL99060801,33.91683333,20.87516667
DOA94090517,33.94766667,20.3645
JBB98041207,33.9075,20.85483333
JBB98041302,33.9275,20.85266667
OUT93052001,33.92033333,22.05966667
OUT93070404,33.90283333,22.08283333
APZ93030401,33.99766667,20.457
DOAY0121306,34.06766667,19.76083333
DOAY0121107,34.07066667,19.78866667
DOAY1032201,34.07483333,19.8205
OUT96030201,33.8445,21.98166667
JBB98041203,33.925,20.878
HRKY0073001,33.87566667,22.30433333
JBBY0042101,33.737,19.9025
WMP95123009,33.9545,21.18366667
AKS93050106,33.94916667,21.128
AKS93050108,33.94916667,21.14133333
AGRY0090709,34.0635,19.79133333
DFJY1032105,34.035,19.42666667
WMP95123001,33.95533333,21.22216667
DOAY0121308,34.06983333,19.76666667
WMP95123008,33.95583333,21.19033333
WMP95123011,33.95083333,21.1605
DOAY0121307,34.0685,19.76233333
DOAY0121309,34.06933333,19.76933333
APE92091606,33.74416667,20.01766667
AGRY0090707,34.07383333,19.778
AMMY1020114,33.94766667,20.35033333
AGRY0090703,34.0635,19.721
DOAY0121305,34.07066667,19.757
DFJY1032101,33.9815,19.488
SGAY1011001,33.92516667,20.85583333
DOAY0121106,34.07033333,19.78716667
JBBY0042402,33.75466667,20.05166667
AMMY0090702,34.07083333,19.72366667
AMMY0090703,34.06866667,19.72
DOAY0121105,34.069,19.78116667
AGRY3100112,33.83333333,21.89583333
AGRY2011017,33.97966667,20.51716667
