,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
147,-34.44016667,19.66716667,6.87,29.51,363.87,0.14,0.41,3.67
148,-34.43466667,19.66616667,6.87,29.51,363.87,0.14,0.41,3.67
149,-34.3415,18.92933333,10.17,24.48,474.61,0.22,0.42,3.61
150,-34.34466667,18.92816667,10.17,24.48,474.61,0.22,0.42,3.61
151,-34.34316667,18.92933333,10.17,24.48,474.61,0.22,0.42,3.61
152,-33.92566667,22.5875,7.26,30.83,348.05,0.08,0.43,2.07
153,-34.3025,18.89333333,10.17,24.48,474.61,0.22,0.42,3.61
154,-34.36833333,20.55083333,8.98,29.13,237.3,0.02,0.37,4.33
155,-33.00166667,19.11,-1.39,35.69,564.26,0.2,0.49,3.73
156,-33.01366667,19.09266667,-1.39,35.69,564.26,0.2,0.49,3.73
157,-34.31433333,18.90266667,10.17,24.48,474.61,0.22,0.42,3.61
158,-34.32166667,19.00816667,10.17,24.48,474.61,0.22,0.42,3.61
159,-33.95633333,20.865,2.62,36.51,290.04,0.03,0.41,4.58
160,-34.04116667,18.8765,6.06,33.55,506.25,0.19,0.45,3.49
161,-34.09633333,18.44216667,6.06,33.55,506.25,0.19,0.45,3.49
162,-34.00216667,18.406,11.12,25.9,374.41,0.22,0.34,3.64
163,-34.22883333,18.91083333,6.06,33.55,506.25,0.19,0.45,3.49
164,-33.81533333,22.95166667,6.64,31.46,369.14,0.1,0.43,1.43
165,-34.22116667,18.90216667,6.06,33.55,506.25,0.19,0.45,3.49
166,-34.2265,18.91883333,6.06,33.55,506.25,0.19,0.45,3.49
167,-34.23016667,18.928,6.06,33.55,506.25,0.19,0.45,3.49
168,-34.05716667,18.39066667,11.12,25.9,374.41,0.22,0.34,3.64
169,-33.98016667,21.29133333,2.65,37.4,326.95,0.03,0.41,4.69
170,-33.969,20.33166667,2.62,36.51,290.04,0.03,0.41,4.58
171,-34.391,19.53383333,6.87,29.51,363.87,0.14,0.41,3.67
172,-34.3975,19.5105,6.87,29.51,363.87,0.14,0.41,3.67
173,-34.39933333,19.46133333,6.87,29.51,363.87,0.14,0.41,3.67
174,-34.302,19.02566667,10.17,24.48,474.61,0.22,0.42,3.61
175,-34.1,18.99166667,6.06,33.55,506.25,0.19,0.45,3.49
176,-34.38466667,19.32616667,6.87,29.51,363.87,0.14,0.41,3.67
177,-34.26616667,18.44966667,10.17,24.48,474.61,0.22,0.42,3.61
178,-34.02933333,18.88783333,6.06,33.55,506.25,0.19,0.45,3.49
179,-33.72333333,19.875,-1.1,36.98,622.27,0.15,0.55,3.74
180,-33.72083333,19.87833333,-1.1,36.98,622.27,0.15,0.55,3.74
181,-34.11416667,18.4475,6.06,33.55,506.25,0.19,0.45,3.49
182,-34.0935,18.448,6.06,33.55,506.25,0.19,0.45,3.49
183,-33.709,19.1145,0.23,36.51,527.34,0.21,0.47,3.48
184,-34.32166667,19.0075,10.17,24.48,474.61,0.22,0.42,3.61
185,-33.89316667,22.5425,7.26,30.83,348.05,0.08,0.43,2.07
186,-34.63816667,19.58683333,6.87,29.51,363.87,0.14,0.41,3.67
187,-34.09316667,18.39716667,11.12,25.9,374.41,0.22,0.34,3.64
188,-34.06316667,18.39233333,11.12,25.9,374.41,0.22,0.34,3.64
189,-34.06516667,18.387,11.12,25.9,374.41,0.22,0.34,3.64
190,-34.05183333,18.38616667,11.12,25.9,374.41,0.22,0.34,3.64
191,-33.972,23.55316667,8.42,29.69,390.23,0.17,0.44,2.8
192,-33.86216667,22.29683333,7.26,30.83,348.05,0.08,0.43,2.07
193,-34.28783333,19.04216667,10.17,24.48,474.61,0.22,0.42,3.61
194,-33.37333333,19.28133333,0.23,36.51,527.34,0.21,0.47,3.48
195,-33.365,19.2705,0.23,36.51,527.34,0.21,0.47,3.48
196,-34.07433333,18.38,11.12,25.9,374.41,0.22,0.34,3.64
197,-34.153,18.9215,6.06,33.55,506.25,0.19,0.45,3.49
198,-33.86683333,22.47683333,7.26,30.83,348.05,0.08,0.43,2.07
199,-33.868,22.4785,7.26,30.83,348.05,0.08,0.43,2.07
200,-33.95916667,21.54566667,2.65,37.4,326.95,0.03,0.41,4.69
201,-33.9505,21.54133333,2.65,37.4,326.95,0.03,0.41,4.69
202,-34.27566667,18.86166667,10.17,24.48,474.61,0.22,0.42,3.61
203,-33.90433333,21.807,4.23,35.73,305.86,0.03,0.41,4.22
204,-34.186,18.39516667,11.12,25.9,374.41,0.22,0.34,3.64
205,-34.2175,18.4505,6.06,33.55,506.25,0.19,0.45,3.49
206,-34.101,18.4365,11.12,25.9,374.41,0.22,0.34,3.64
207,-34.3045,18.96983333,10.17,24.48,474.61,0.22,0.42,3.61
208,-34.3095,18.99683333,10.17,24.48,474.61,0.22,0.42,3.61
209,-34.29016667,18.93766667,10.17,24.48,474.61,0.22,0.42,3.61
210,-33.94833333,20.90166667,2.62,36.51,290.04,0.03,0.41,4.58
211,-33.705,19.115,0.23,36.51,527.34,0.21,0.47,3.48
212,-34.37766667,20.58,8.98,29.13,237.3,0.02,0.37,4.33
213,-34.37383333,20.57066667,8.98,29.13,237.3,0.02,0.37,4.33
214,-34.37216667,20.56666667,8.98,29.13,237.3,0.02,0.37,4.33
