Obs,Latitude,Longitude
APE94082307,-33.72166667,24.23233333
APE94082311,-33.72883333,24.26666667
APE94082312,-33.728,24.2695
APE94082333,-33.52166667,24.08816667
APE94090804,-34.3235,19.16133333
APE94090805,-34.32933333,19.16016667
APE94091102,-34.19816667,19.15483333
NGF94100301,-34.23916667,19.03766667
NGF94101502,-34.034,18.329
AGR94101002,-33.63333333,19.33283333
ASP94100801,-33.3315,21.292
ASP94100805,-33.33333333,21.29133333
ASP94102603,-33.56616667,19.20316667
ASP94102615,-33.66666667,19.25
ASP94121104,-33.62916667,19.108
SHR95092402,-34.32716667,21.521
SHS95102104,-33.89366667,21.72683333
AGR95102903,-34.31433333,18.9565
AGR95112501,-33.71266667,19.05483333
AGR95112504,-33.709,19.0645
AGR95112508,-33.695,19.07583333
AGR95112536,-33.63866667,19.108
AGR95112626,-33.55133333,19.1065
AGR95110802,-33.628,19.27416667
AGR95110808,-33.5725,19.27466667
AGR95111006,-34.1865,21.4435
DSM95110803,-33.627,19.269
AGR95122905,-34.44633333,20.54416667
BMJ96080401,-33.73916667,25.21916667
AGR96082108,-34.02433333,19.21383333
BMJ96082504,-33.785,24.31583333
BMJ96083101,-33.565,25.01416667
BMJ96083102,-33.56916667,25.00416667
MCG96082403,-33.59283333,24.3865
LYM96091501,-33.99316667,18.97416667
MCG96082404,-33.59633333,24.38166667
SHR96101303,-34.2095,18.44816667
AGR96111307,-34.0225,18.90316667
AGR96101203,-33.89233333,19.16
AGR96110712,-33.50233333,19.2175
STU96120401,-34.46433333,19.84283333
AGR96112706,-34.14466667,18.94183333
AGR96090505,-33.50133333,19.0775
AGR96090507,-33.48966667,19.04566667
GOE97012402,-33.736,21.89683333
STN97012404,-33.7365,21.893
SHR97051101,-33.36216667,22.06916667
AGR97081608,-34.66616667,19.5925
AGR97081712,-34.69316667,19.85616667
AGR97081303,-33.82933333,19.04083333
MCG97091408,-33.69733333,24.95383333
AGR97091105,-34.08783333,19.28283333
AGR97091020,-34.004,19.1075
AGR97101208,-33.72166667,18.928
SHR97110202,-34.08466667,20.0075
MCG97120605,-33.6,24.42583333
SHR97121404,-34.064,20.015
SHR97121406,-34.07116667,20.035
SHR97121408,-34.081,20.0495
SHR97121411,-34.07933333,20.07316667
SHR97121413,-34.07416667,20.135
AGR97121505,-34.08516667,20.00866667
RTS98040603,-33.53033333,20.62233333
AGR98040420,-33.81483333,22.11016667
AGR98042701,-33.95466667,19.17583333
MOO98042203,-33.36133333,22.101
AGR98061702,-33.284,25.11016667
AGR98061711,-33.284,25.09783333
AGR98091103,-34.49783333,19.7295
AGR98091105,-34.546,19.75266667
AGR98091803,-33.41483333,18.32533333
AGR98091805,-33.47066667,18.38433333
DJL98091805,-33.42166667,18.33333333
IVM98090404,-34.22616667,19.49783333
SHR98092701,-33.69266667,21.64166667
STU98091501,-34.47516667,19.80483333
IVM98091105,-34.56183333,19.78933333
AGR98102205,-33.27966667,20.53616667
AGR98102303,-33.41983333,21.39683333
WEL98060701,-34.14416667,18.42316667
WEL98081010,-33.9955,19.007
WEL98081011,-33.99683333,19.00966667
IVM98100906,-33.50983333,19.24133333
VCH98102201,-33.27633333,20.521
SHR98112801,-33.7405,19.88183333
AGR98112514,-34.04416667,19.96666667
AGR98112515,-34.04233333,19.96866667
AGR98121713,-33.29466667,19.44516667
AGR99061304,-34.02166667,18.39583333
AGR99061601,-34.08966667,18.4225
AGR99092405,-33.08033333,19.0975
AGR99092407,-33.08516667,19.0995
AGR99092902,-34.01766667,19.75266667
AGR99100101,-33.97883333,19.28166667
AGR99101002,-34.26916667,18.4645
WHE99102801,-33.95266667,18.97466667
AGRY0050701,-34.0045,18.407
WELY0011302,-32.90633333,19.0725
AGRY0081704,-32.97033333,19.0495
AGRY0082615,-33.74916667,19.84833333
AGRY0082625,-33.7505,19.89616667
AGRY0082626,-33.7505,19.90133333
AGRY0082631,-33.75133333,19.90533333
SHRY0080903,-33.96866667,19.56283333
SHRY0080908,-33.98966667,19.58983333
AGRY0101516,-33.92116667,21.29566667
MCGY0092304,-32.32816667,19.21183333
AGRY0103016,-31.646,19.142
AGRY0103050,-31.77316667,19.12716667
AGRY0111124,-32.99366667,19.183
AGRY0111217,-32.945,19.2145
AGRY0101320,-34.10133333,21.86183333
AGRY0101321,-34.10133333,21.85666667
AGRY0101323,-34.10233333,21.84566667
AGRY0101324,-34.10233333,21.84083333
AGRY0101325,-34.10233333,21.83416667
MCGY0102201,-33.35916667,22.17416667
AGRY0110509,-34.20983333,19.45266667
WELY0060426,-33.32483333,22.03816667
WELY0060427,-33.3185,22.03766667
AGRY0112210,-32.8045,19.30266667
AGRY0112220,-32.85366667,19.35533333
AGRY0112303,-32.817,19.29683333
AGRY0112305,-33.11133333,19.3705
AGRY0112335,-33.038,19.43016667
GEDY0112110,-32.9905,19.3005
GEDY0112221,-32.918,19.36983333
GEDY0112225,-32.91733333,19.265
SHRY1012914,-33.78516667,20.833
GEDY0112205,-32.71983333,19.23066667
SHRY0122815,-33.74866667,25.05433333
GEDY0112401,-33.05516667,19.3275
AGRY1102504,-34.30716667,18.81833333
AGRY1111202,-33.9865,19.3855
AGRY1040905,-34.41433333,20.64783333
AGRY1102015,-33.72433333,19.11716667
AGRY2041915,-33.78383333,20.078
AGRY2072905,-34.36266667,18.85183333
AGRY2092301,-34.35266667,18.85933333
AGRY2101203,-34.1105,18.428
AGRY3051804,-34.03916667,18.8745
AGRY2092609,-34.3175,21.235
AGRY2092730,-34.03016667,21.901
AGRY2092747,-34.00766667,22.00266667
SHRY2111005,-33.47933333,19.07283333
SHRY2111006,-33.477,19.06816667
AGRY2112142,-33.73916667,24.13916667
AGRY2112611,-34.16033333,19.0905
AGRY3102810,-34.05583333,20.1065
AGRY3102811,-34.055,20.1005
AGRY3102901,-34.0365,22.1875
AGRY3102903,-34.0415,22.19416667
AGRY3111329,-34.20683333,19.46
AGRY4102717,-33.522,18.54683333
AGRY4103101,-33.69416667,19.0745
AGRY5100101,-33.787,19.157
AGRY5122803,-32.14016667,19.0275
AGR92012309,-33.645,18.46383333
AGR92020405,-33.89466667,19.162
AGR92021907,-34.4005,19.25383333
APE92050901,-34.23383333,18.40583333
DOA92102308,-33.328,22.20516667
AGR92123004,-34.05716667,20.44916667
AGR92123006,-34.0545,20.4465
AGR93030203,-34.086,23.2425
AGR93030602,-33.677,19.87233333
OGM93022802,-34.40466667,19.28333333
RAA93032902,-33.741,21.908
ASP94111515,-33.58866667,19.29933333
AGR95020505,-33.2865,19.2555
AGR95021803,-33.97716667,19.27
ASP95030216,-33.46083333,18.42316667
AGR95032108,-34.2045,18.45216667
AGR95040533,-34.40516667,19.363
AGR95041709,-33.95016667,18.435
CNR95083102,-34.33733333,18.46133333
AGR95112533,-33.65766667,19.114
AGR96021729,-34.1915,19.528
AGR96032201,-34.14466667,18.336
AGR96032206,-34.1545,18.336
AGR96041401,-34.14466667,18.3355
BMJ96062303,-33.8675,24.79833333
JCJ97020901,-33.905,24.2725
AGR97022613,-33.71083333,23.243
MCG97030116,-33.76133333,24.0935
AGR97012902,-33.22833333,18.2575
AGR97012903,-33.235,18.278
AGR97012904,-33.218,18.2795
STU97030118,-34.42166667,20.63716667
DFJ97033102,-33.6525,24.65083333
AGR97032901,-34.269,18.46533333
AGR97032902,-34.27116667,18.46583333
AGR97031202,-33.7045,18.92833333
AGR97032108,-32.2315,19.14416667
AGR97032114,-32.21666667,19.11233333
AGR97040627,-31.82933333,18.71983333
BMJ97052501,-33.80966667,24.43
AGR97102512,-34.09316667,20.03616667
AGR97112302,-33.98466667,18.953
AGR97112303,-33.98783333,18.95666667
